loan_id,customer_id,has_late_payment,principal_amount,interest_rate,term_months,loan_type,loan_product,monthly_payment_est,annual_income,employment_status,industry_name,debt_to_income,payment_to_income,borrower_age_years,client_tenure_years,accounts_count,cards_count,disbursement_date,payments_total
31,93,0,103135.23,18.2121,48,PERSONAL,Personal Loan,3713.91,4657132.68,Employed,Energy,0.0221,0.0096,40.8,0.04,1,1,2025-01-31,11
32,95,1,716803.49,23.6864,36,PERSONAL,Personal Loan,34059.95,2527935.72,Self-employed,Public Sector,0.2836,0.1617,63.0,0.11,1,1,2025-04-06,7
34,98,0,957265.14,24.3555,48,PERSONAL,Personal Loan,39371.92,1973660.28,Employed,Tech,0.4850,0.2394,41.9,0.00,1,1,2025-09-30,3
35,107,0,772462.98,16.3594,12,PERSONAL,Personal Loan,74902.77,1012126.20,Employed,Construction,0.7632,0.8881,29.5,0.02,1,1,2025-02-15,10
36,112,0,770724.76,17.8585,60,PERSONAL,Personal Loan,24315.40,2341765.68,Self-employed,Transport,0.3291,0.1246,41.4,0.10,1,1,2025-06-04,6
37,112,1,2310516.21,14.7863,120,MORTGAGE,Mortgage,47724.29,2341765.68,Self-employed,Transport,0.9867,0.2446,41.4,0.10,1,1,2025-06-02,6
38,115,0,7881433.85,14.0699,180,MORTGAGE,Mortgage,136194.90,1367419.68,Employed,Professional Services,5.7637,1.1952,62.6,0.05,1,1,2025-06-23,6
39,117,0,615411.97,16.0419,12,PERSONAL,Personal Loan,59511.31,3932382.12,Employed,Healthcare,0.1565,0.1816,33.5,0.02,1,1,2025-08-23,4
40,117,0,4219122.31,12.6159,240,MORTGAGE,Mortgage,61936.36,3932382.12,Employed,Healthcare,1.0729,0.1890,33.5,0.05,1,1,2025-09-02,3
43,124,0,912168.53,21.7315,60,PERSONAL,Personal Loan,31721.80,2210244.60,Employed,Retail,0.4127,0.1722,47.8,0.24,1,1,2025-04-17,8
44,127,0,3984933.40,14.5762,120,MORTGAGE,Mortgage,81612.10,1333503.24,Employed,Transport,2.9883,0.7344,42.6,0.11,1,1,2025-09-20,3
45,128,0,8883312.21,14.3120,180,MORTGAGE,Mortgage,155300.04,6042429.48,Employed,Professional Services,1.4702,0.3084,62.5,0.14,2,0,2025-03-28,9
46,130,0,837543.92,23.7877,24,PERSONAL,Personal Loan,51500.37,5040303.84,Employed,Hospitality,0.1662,0.1226,38.4,0.07,2,1,2025-07-18,5
47,135,0,898884.56,16.9957,60,PERSONAL,Personal Loan,27712.39,2690719.68,Employed,Finance,0.3341,0.1236,25.4,0.01,1,1,2025-08-13,4
48,141,1,6089770.58,12.7513,300,MORTGAGE,Mortgage,85009.64,2043325.80,Employed,Finance,2.9803,0.4992,64.3,0.11,2,1,2025-06-03,6
49,142,0,6307888.37,13.1221,240,MORTGAGE,Mortgage,95260.15,1507464.48,Employed,Healthcare,4.1844,0.7583,56.7,0.06,2,1,2025-05-10,7
50,143,0,700197.53,22.1470,12,PERSONAL,Personal Loan,71272.52,832050.84,Employed,Education,0.8415,1.0279,26.1,0.14,1,1,2025-04-19,8
51,147,1,657866.54,16.3791,48,PERSONAL,Personal Loan,22684.94,4760129.40,Employed,Finance,0.1382,0.0572,38.6,0.03,1,1,2025-09-08,3
52,152,1,3957535.22,10.6905,240,MORTGAGE,Mortgage,51746.42,6583786.20,Employed,Public Sector,0.6011,0.0943,53.6,0.11,2,1,2025-06-28,6
53,154,1,416227.24,22.5411,12,PERSONAL,Personal Loan,42504.12,1469429.88,Employed,Education,0.2833,0.3471,33.5,0.01,1,0,2025-09-12,3
54,156,0,247097.59,21.2969,12,PERSONAL,Personal Loan,24976.81,3684437.64,Employed,Tech,0.0671,0.0813,49.6,0.02,1,1,2025-10-04,2
55,160,0,153663.95,18.1518,60,PERSONAL,Personal Loan,4885.46,1873686.96,Employed,Finance,0.0820,0.0313,28.9,0.03,1,1,2025-09-20,3
56,165,0,7226945.47,13.1148,240,MORTGAGE,Mortgage,109095.56,865151.28,Employed,Tech,8.3534,1.5132,29.8,0.12,2,1,2025-10-04,2
57,168,1,558810.64,23.5500,24,PERSONAL,Personal Loan,34250.44,2039221.20,Employed,Manufacturing,0.2740,0.2016,46.7,0.03,1,1,2025-07-16,5
58,168,0,5372822.39,12.9322,180,MORTGAGE,Mortgage,87751.02,2039221.20,Employed,Manufacturing,2.6347,0.5164,46.8,0.09,1,1,2025-08-06,4
59,171,0,1006914.66,16.6173,12,PERSONAL,Personal Loan,97853.06,2055674.88,Employed,Tech,0.4898,0.5712,45.9,0.11,1,1,2025-05-14,7
61,180,0,752772.40,18.1829,60,PERSONAL,Personal Loan,23952.53,1785391.32,Self-employed,Education,0.4216,0.1610,47.8,0.08,1,1,2025-06-01,7
63,189,1,9863192.52,13.3010,180,MORTGAGE,Mortgage,164120.78,1131789.60,Employed,Transport,8.7147,1.7401,47.8,0.05,1,1,2025-02-13,10
64,192,0,977968.46,22.0366,60,PERSONAL,Personal Loan,34258.72,1969119.60,Employed,Public Sector,0.4967,0.2088,59.0,0.21,1,1,2025-03-25,9
65,198,0,1010657.94,24.7085,24,PERSONAL,Personal Loan,62920.62,854012.40,Employed,Transport,1.1834,0.8841,52.4,0.16,1,1,2025-05-20,6
66,212,0,344421.74,18.0394,36,PERSONAL,Personal Loan,14744.91,3258753.72,Self-employed,Finance,0.1057,0.0543,62.2,0.00,1,1,2025-10-20,2
68,217,0,606559.14,16.1897,36,PERSONAL,Personal Loan,25032.21,1703761.08,Self-employed,Education,0.3560,0.1763,62.8,0.01,1,1,2025-09-18,3
69,224,0,776830.92,16.1047,60,PERSONAL,Personal Loan,23372.71,3494786.64,Self-employed,Energy,0.2223,0.0803,37.1,0.36,2,1,2025-05-18,7
71,229,0,5353287.39,10.5459,180,MORTGAGE,Mortgage,76786.51,2184864.48,Employed,Finance,2.4502,0.4217,59.5,0.10,1,1,2025-11-08,1
72,230,1,584453.63,19.2502,48,PERSONAL,Personal Loan,21551.83,1488263.76,Employed,Professional Services,0.3927,0.1738,33.9,0.03,1,1,2025-08-17,4
73,236,0,5476855.82,11.8996,240,MORTGAGE,Mortgage,77130.56,1857123.60,Employed,Education,2.9491,0.4984,23.7,0.08,1,1,2025-09-14,3
74,239,0,9259083.25,12.3251,120,MORTGAGE,Mortgage,172258.30,1382763.84,Employed,Retail,6.6961,1.4949,46.3,0.09,1,1,2025-03-28,9
75,241,0,309136.99,18.6656,36,PERSONAL,Personal Loan,13395.66,2286215.28,Employed,Healthcare,0.1352,0.0703,37.7,0.36,1,1,2025-06-29,6
76,241,0,2452663.09,12.3850,240,MORTGAGE,Mortgage,35532.96,2286215.28,Employed,Healthcare,1.0728,0.1865,37.5,0.11,1,1,2025-03-29,9
77,247,0,965260.07,24.4374,36,PERSONAL,Personal Loan,46469.82,2197235.88,Employed,Hospitality,0.4393,0.2538,43.0,0.01,1,1,2025-08-02,4
78,248,0,7398950.71,11.2049,240,MORTGAGE,Mortgage,99916.05,2068355.52,Employed,Construction,3.5772,0.5797,28.1,0.06,1,1,2025-10-17,1
79,249,0,464308.10,21.3872,36,PERSONAL,Personal Loan,21172.66,905423.52,Employed,Hospitality,0.5128,0.2806,51.1,0.01,1,1,2025-10-14,2
80,249,0,5550793.45,12.1004,300,MORTGAGE,Mortgage,74475.00,905423.52,Employed,Hospitality,6.1306,0.9871,51.2,0.11,1,1,2025-11-19,1
81,252,0,6187095.78,14.2556,180,MORTGAGE,Mortgage,107873.39,2189598.84,Employed,Hospitality,2.8257,0.5912,39.6,0.11,1,1,2025-09-18,2
82,255,0,1049427.30,16.7471,36,PERSONAL,Personal Loan,43796.48,2540089.56,Employed,Finance,0.4131,0.2069,43.9,0.34,1,1,2025-06-24,6
83,256,0,650931.34,16.1181,12,PERSONAL,Personal Loan,62987.43,2175409.56,Employed,Construction,0.2992,0.3475,26.2,0.04,1,1,2025-03-22,9
84,260,0,589235.81,20.1852,12,PERSONAL,Personal Loan,59014.52,2474794.20,Employed,Construction,0.2381,0.2862,45.0,0.02,1,1,2025-08-25,4
85,262,0,413361.57,19.7119,60,PERSONAL,Personal Loan,13679.48,1778929.44,Employed,Professional Services,0.2324,0.0923,35.2,0.30,1,1,2025-04-27,8
86,263,0,9198138.24,11.4397,300,MORTGAGE,Mortgage,118347.08,3598210.20,Employed,Retail,2.5563,0.3947,38.3,0.15,1,1,2025-10-19,2
87,264,0,346628.27,18.3634,24,PERSONAL,Personal Loan,19747.24,1282836.72,Employed,Retail,0.2702,0.1847,42.8,0.02,1,1,2025-07-26,5
88,264,0,7626431.90,14.8074,180,MORTGAGE,Mortgage,136475.42,1282836.72,Employed,Retail,5.9450,1.2766,42.9,0.13,1,1,2025-09-02,3
89,265,1,883100.43,21.5073,36,PERSONAL,Personal Loan,40358.16,1221739.68,Employed,Manufacturing,0.7228,0.3964,51.0,0.05,1,1,2025-04-25,8
90,266,0,1054061.48,21.3915,12,PERSONAL,Personal Loan,106628.42,2832166.32,Employed,Hospitality,0.3722,0.4518,44.1,0.10,1,1,2025-03-23,9
92,273,0,755058.90,17.8423,60,PERSONAL,Personal Loan,23810.97,1806749.64,Employed,Healthcare,0.4179,0.1581,40.1,0.01,1,1,2025-12-01,1
93,279,0,824581.47,23.6664,24,PERSONAL,Personal Loan,50619.96,2038305.84,Employed,Transport,0.4045,0.2980,44.4,0.02,1,1,2025-09-19,3
94,279,0,7997983.41,11.1998,240,MORTGAGE,Mortgage,107971.44,2038305.84,Employed,Transport,3.9238,0.6357,44.5,0.09,1,1,2025-10-14,2
96,286,0,8880677.40,13.7757,180,MORTGAGE,Mortgage,151285.05,5723690.40,Employed,Healthcare,1.5516,0.3172,54.5,0.05,1,1,2025-07-25,5
97,290,0,8993662.39,14.4861,120,MORTGAGE,Mortgage,183516.43,1415400.84,Employed,Manufacturing,6.3541,1.5559,39.8,0.16,1,0,2025-05-18,7
98,291,0,606353.31,21.2288,24,PERSONAL,Personal Loan,35991.52,2440836.72,Employed,Energy,0.2484,0.1769,32.4,0.02,1,1,2025-11-09,1
99,293,0,370841.81,24.3528,24,PERSONAL,Personal Loan,22977.61,2354267.52,Self-employed,Tech,0.1575,0.1171,33.0,0.03,1,1,2025-08-08,4
100,295,0,5744371.28,10.9071,180,MORTGAGE,Mortgage,84125.20,2897355.36,Employed,Tech,1.9826,0.3484,38.1,0.11,1,1,2025-04-28,8
101,297,0,1235149.31,18.3660,36,PERSONAL,Personal Loan,53213.66,3438500.16,Self-employed,Construction,0.3592,0.1857,54.3,0.08,1,1,2025-04-27,7
102,298,0,1072492.96,17.8570,24,PERSONAL,Personal Loan,60646.80,2848257.36,Employed,Finance,0.3765,0.2555,52.5,0.04,1,1,2025-02-20,10
103,301,0,6624612.64,12.3938,120,MORTGAGE,Mortgage,123625.21,4533282.12,Employed,Energy,1.4613,0.3272,56.9,0.04,1,1,2025-08-03,3
105,304,0,235072.17,18.0902,48,PERSONAL,Personal Loan,8441.09,953356.32,Employed,Professional Services,0.2466,0.1062,25.2,0.02,1,1,2025-09-12,3
106,310,0,866879.42,20.0580,12,PERSONAL,Personal Loan,86729.84,1872520.08,Employed,Transport,0.4629,0.5558,46.3,0.24,2,1,2025-05-24,7
107,310,0,6828042.21,10.3697,120,MORTGAGE,Mortgage,115904.31,1872520.08,Employed,Transport,3.6464,0.7428,46.2,0.16,1,1,2025-04-28,8
108,319,0,308648.08,22.0187,24,PERSONAL,Personal Loan,18523.69,2243855.88,Self-employed,Retail,0.1376,0.0991,43.2,0.03,1,1,2025-10-06,2
110,321,0,5713698.78,12.3397,120,MORTGAGE,Mortgage,106368.60,1056351.72,Employed,Construction,5.4089,1.2083,24.6,0.12,1,1,2025-05-13,7
111,328,0,1324380.41,19.0218,12,PERSONAL,Personal Loan,131358.45,1349625.12,Self-employed,Energy,0.9813,1.1680,34.0,0.02,1,1,2025-10-06,2
114,343,0,269773.79,21.9672,12,PERSONAL,Personal Loan,27419.63,447262.68,Student,,0.6032,0.7357,21.5,0.01,1,1,2025-07-18,5
115,344,0,446012.69,19.8607,48,PERSONAL,Personal Loan,16673.70,2042715.96,Employed,Hospitality,0.2183,0.0980,34.3,0.34,1,1,2025-06-18,6
116,344,0,3763786.01,13.3900,240,MORTGAGE,Mortgage,57680.02,2042715.96,Employed,Hospitality,1.8425,0.3388,34.0,0.12,1,1,2025-03-30,9
117,347,0,7348899.64,14.3908,300,MORTGAGE,Mortgage,112626.79,3679493.64,Employed,Transport,1.9973,0.3673,47.4,0.09,1,1,2025-08-12,4
118,350,0,471831.78,21.4992,36,PERSONAL,Personal Loan,21559.78,1461235.68,Self-employed,Finance,0.3229,0.1771,53.3,0.03,2,1,2025-09-14,3
119,352,1,9727036.18,14.7100,300,MORTGAGE,Mortgage,151660.71,3052821.96,Employed,Public Sector,3.1862,0.5961,41.4,0.05,1,1,2025-05-07,7
120,354,0,5263570.17,10.6480,180,MORTGAGE,Mortgage,75947.47,1311803.16,Employed,Hospitality,4.0125,0.6947,39.9,0.04,1,1,2025-09-25,3
122,360,0,9328939.09,11.3658,180,MORTGAGE,Mortgage,140186.49,1481793.36,Employed,Construction,6.2957,1.1353,42.5,0.13,1,1,2025-08-04,4
123,365,0,737878.73,16.8601,12,PERSONAL,Personal Loan,71857.15,2658513.00,Employed,Professional Services,0.2776,0.3243,64.2,0.42,1,0,2025-06-08,5
124,367,0,667836.72,18.1008,36,PERSONAL,Personal Loan,28624.67,1907829.72,Employed,Manufacturing,0.3501,0.1800,28.3,0.03,1,1,2025-10-16,2
126,370,0,1495189.44,19.7332,48,PERSONAL,Personal Loan,55737.17,2461236.84,Self-employed,Professional Services,0.6075,0.2718,50.2,0.04,1,1,2025-07-10,4
127,387,1,140503.94,21.9364,48,PERSONAL,Personal Loan,5495.62,1070599.20,Employed,Energy,0.1312,0.0616,29.2,0.04,1,1,2025-06-14,6
128,392,0,262442.78,21.2413,36,PERSONAL,Personal Loan,11935.60,908517.12,Employed,Retail,0.2889,0.1576,25.8,0.11,1,1,2025-03-24,8
129,395,0,420822.66,18.8597,24,PERSONAL,Personal Loan,24148.10,337099.32,Student,,1.2484,0.8596,22.3,0.15,1,1,2025-04-23,8
130,399,0,833793.84,22.3764,36,PERSONAL,Personal Loan,38708.69,1099130.52,Employed,Energy,0.7586,0.4226,29.5,0.11,1,1,2025-02-16,8
131,401,1,605892.40,17.5570,12,PERSONAL,Personal Loan,59355.74,2016259.92,Employed,Retail,0.3005,0.3533,60.3,0.10,2,1,2025-06-07,6
132,402,0,287948.47,21.6997,60,PERSONAL,Personal Loan,10006.14,1870775.16,Employed,Finance,0.1539,0.0642,60.0,0.02,1,1,2025-08-25,4
133,407,0,5289974.21,11.3663,300,MORTGAGE,Mortgage,67739.44,1776971.52,Employed,Hospitality,2.9770,0.4574,52.7,0.05,1,1,2025-01-26,11
136,421,0,153713.10,19.4130,24,PERSONAL,Personal Loan,8891.41,1681887.12,Employed,Retail,0.0914,0.0634,23.6,0.01,1,1,2025-07-05,5
137,423,0,208222.71,21.9915,48,PERSONAL,Personal Loan,8153.91,747604.20,Self-employed,Professional Services,0.2785,0.1309,46.8,0.03,1,1,2025-10-01,3
138,427,1,523885.16,22.1737,12,PERSONAL,Personal Loan,53337.49,2865172.80,Employed,Energy,0.1828,0.2234,23.5,0.08,1,1,2025-05-26,7
140,436,0,6976124.88,13.1017,120,MORTGAGE,Mortgage,134300.29,4057662.96,Employed,Professional Services,1.7192,0.3972,33.7,0.13,1,1,2025-03-20,8
141,442,0,750201.45,21.4647,12,PERSONAL,Personal Loan,75935.83,7147481.52,Employed,Tech,0.1050,0.1275,39.7,0.26,1,1,2025-04-13,8
142,449,0,7830625.17,11.5903,120,MORTGAGE,Mortgage,140887.96,2253996.60,Employed,Hospitality,3.4741,0.7501,57.5,0.08,1,1,2025-02-15,10
143,450,0,1464816.01,22.2281,12,PERSONAL,Personal Loan,149201.40,4499235.60,Employed,Retail,0.3256,0.3979,50.8,0.01,1,1,2025-09-28,3
144,462,0,121473.87,22.3115,36,PERSONAL,Personal Loan,5632.83,672158.76,Retired,,0.1807,0.1006,70.5,0.02,1,1,2025-09-10,3
145,463,0,9941972.32,12.5572,240,MORTGAGE,Mortgage,145461.00,2051934.48,Employed,Retail,4.8452,0.8507,60.6,0.08,1,1,2025-11-09,1
146,468,0,8255393.85,10.1325,300,MORTGAGE,Mortgage,97224.46,5480213.40,Employed,Construction,1.5064,0.2129,56.5,0.11,1,1,2025-07-08,5
147,469,0,371385.19,17.4817,60,PERSONAL,Personal Loan,11600.12,2109822.00,Employed,Education,0.1760,0.0660,49.0,0.01,1,1,2025-09-11,3
148,469,0,5847417.34,10.0139,240,MORTGAGE,Mortgage,73160.45,2109822.00,Employed,Education,2.7715,0.4161,49.0,0.03,1,1,2025-09-19,3
149,470,0,194699.23,19.6156,24,PERSONAL,Personal Loan,11295.09,430265.16,Student,,0.4525,0.3150,18.6,0.28,1,1,2025-07-01,6
150,474,0,7239063.21,11.2843,300,MORTGAGE,Mortgage,92203.34,1468373.76,Employed,Finance,4.9300,0.7535,33.1,0.13,1,1,2025-11-04,1
151,477,0,9701337.24,10.0217,180,MORTGAGE,Mortgage,134916.23,5201379.60,Employed,Finance,1.8651,0.3113,41.7,0.13,1,1,2025-03-19,9
152,478,1,1068646.82,17.1640,12,PERSONAL,Personal Loan,104339.11,1183855.44,Employed,Tech,0.9027,1.0576,48.2,0.08,1,0,2025-06-26,6
153,480,1,713720.33,21.0374,36,PERSONAL,Personal Loan,32337.91,3040848.24,Employed,Education,0.2347,0.1276,49.5,0.26,2,1,2025-05-12,7
155,489,0,329774.31,22.3198,48,PERSONAL,Personal Loan,13004.05,2387935.56,Employed,Retail,0.1381,0.0653,35.4,0.02,1,1,2025-10-18,2
156,491,0,6331851.10,13.5965,300,MORTGAGE,Mortgage,92848.68,4227099.48,Employed,Education,1.4979,0.2636,52.2,0.05,1,1,2025-07-10,5
158,495,0,128938.72,21.3311,24,PERSONAL,Personal Loan,7664.45,1884614.64,Employed,Construction,0.0684,0.0488,47.2,0.14,1,1,2025-06-03,6
159,498,0,326374.69,17.9000,60,PERSONAL,Personal Loan,10308.00,1078168.32,Employed,Public Sector,0.3027,0.1147,61.1,0.03,1,1,2025-10-03,2
160,500,0,666395.64,19.0618,48,PERSONAL,Personal Loan,24468.83,1375409.76,Employed,Manufacturing,0.4845,0.2135,26.1,0.02,1,1,2025-07-26,5
161,506,0,663532.90,24.3013,60,PERSONAL,Personal Loan,24496.14,1227273.24,Employed,Retail,0.5407,0.2395,55.3,0.13,1,1,2025-04-24,8
162,506,1,4023891.72,12.6617,120,MORTGAGE,Mortgage,75990.19,1227273.24,Employed,Retail,3.2787,0.7430,55.2,0.09,1,1,2025-04-11,8
163,507,0,569781.36,21.3325,24,PERSONAL,Personal Loan,33869.94,1412811.24,Employed,Hospitality,0.4033,0.2877,60.3,0.20,1,1,2025-04-26,8
164,507,1,3478456.22,14.7707,300,MORTGAGE,Mortgage,54410.88,1412811.24,Employed,Hospitality,2.4621,0.4621,60.2,0.10,1,1,2025-03-22,9
166,511,0,578752.56,17.1455,12,PERSONAL,Personal Loan,56498.55,2422938.84,Employed,Transport,0.2389,0.2798,34.3,0.04,1,1,2025-07-09,5
167,513,0,2544402.33,11.1495,120,MORTGAGE,Mortgage,44844.03,1193084.16,Employed,Education,2.1326,0.4510,27.8,0.08,1,1,2025-07-27,5
168,515,0,767224.12,24.9756,60,PERSONAL,Personal Loan,28755.30,1604892.24,Employed,Finance,0.4781,0.2150,34.4,0.04,1,1,2025-10-19,2
169,519,0,3552279.49,14.1410,120,MORTGAGE,Mortgage,71462.98,6403481.04,Employed,Construction,0.5547,0.1339,37.1,0.10,1,1,2025-06-25,6
170,520,0,2603910.11,11.4321,180,MORTGAGE,Mortgage,39272.97,2159060.64,Employed,Transport,1.2060,0.2183,60.3,0.10,1,1,2025-04-22,7
172,528,1,993571.15,21.1537,12,PERSONAL,Personal Loan,100312.35,2844983.16,Employed,Manufacturing,0.3492,0.4231,35.8,0.02,1,1,2025-03-11,9
173,528,0,7646739.12,10.2462,180,MORTGAGE,Mortgage,107773.57,2844983.16,Employed,Manufacturing,2.6878,0.4546,35.9,0.09,1,1,2025-04-04,8
174,533,0,934174.66,22.4399,36,PERSONAL,Personal Loan,43418.28,2437546.08,Employed,Education,0.3832,0.2137,48.7,0.14,1,1,2025-05-25,7
175,534,1,3748302.02,14.4646,180,MORTGAGE,Mortgage,66005.31,1461250.68,Employed,Education,2.5651,0.5420,57.0,0.09,1,1,2025-03-20,9
176,538,0,9832381.45,14.1068,240,MORTGAGE,Mortgage,156554.45,2223649.56,Employed,Professional Services,4.4217,0.8449,56.1,0.06,1,1,2025-04-14,8
177,539,1,8407339.50,14.6300,180,MORTGAGE,Mortgage,149206.92,3027569.40,Self-employed,Manufacturing,2.7769,0.5914,64.2,0.08,1,1,2025-07-08,5
178,541,1,1112484.53,19.9316,36,PERSONAL,Personal Loan,49380.35,3240288.60,Self-employed,Hospitality,0.3433,0.1829,37.4,0.22,1,1,2025-05-01,8
179,542,0,8677414.50,12.6395,300,MORTGAGE,Mortgage,120323.20,1511855.88,Employed,Public Sector,5.7396,0.9550,57.5,0.13,1,1,2025-09-16,3
182,550,0,9884695.74,11.5625,300,MORTGAGE,Mortgage,128192.15,2029172.76,Employed,Public Sector,4.8713,0.7581,62.9,0.12,2,1,2025-06-01,7
183,552,1,713842.04,17.5369,12,PERSONAL,Personal Loan,69918.98,0.00,Self-employed,Energy,,,60.0,0.15,1,1,2025-05-19,7
184,558,0,328636.35,21.5946,60,PERSONAL,Personal Loan,11391.25,1166104.80,Employed,Energy,0.2818,0.1172,38.9,0.03,1,1,2025-07-08,5
185,558,0,8958813.99,10.0939,180,MORTGAGE,Mortgage,125129.00,1166104.80,Employed,Energy,7.6827,1.2877,39.0,0.16,1,1,2025-08-25,4
186,564,0,357799.74,24.0163,12,PERSONAL,Personal Loan,36977.50,2100234.96,Employed,Transport,0.1704,0.2113,24.2,0.03,1,1,2025-05-08,7
187,573,1,955000.48,17.7161,48,PERSONAL,Personal Loan,33994.91,1978659.72,Employed,Transport,0.4827,0.2062,26.2,0.03,1,1,2025-03-09,8
188,576,0,668486.67,24.9582,36,PERSONAL,Personal Loan,32472.59,1218216.96,Employed,Energy,0.5487,0.3199,34.9,0.02,1,1,2025-11-12,1
189,578,0,9025032.20,14.4699,120,MORTGAGE,Mortgage,184034.70,4650910.32,Employed,Healthcare,1.9405,0.4748,46.7,0.11,1,1,2025-04-09,8
191,585,0,1314720.41,16.2868,60,PERSONAL,Personal Loan,39755.83,4699262.40,Employed,Construction,0.2798,0.1015,48.8,0.16,1,1,2025-05-15,7
192,586,1,356953.26,22.1024,48,PERSONAL,Personal Loan,14011.13,3156240.48,Employed,Retail,0.1131,0.0533,43.6,0.28,1,1,2025-07-16,5
193,586,1,5791256.68,10.2575,120,MORTGAGE,Mortgage,97763.65,3156240.48,Employed,Retail,1.8349,0.3717,43.4,0.08,1,1,2025-05-05,7
195,594,0,2525643.01,14.3638,240,MORTGAGE,Mortgage,40755.04,1391347.44,Employed,Retail,1.8152,0.3515,25.3,0.12,1,1,2025-11-19,1
196,597,1,1025037.34,20.3183,36,PERSONAL,Personal Loan,45829.11,2317528.32,Employed,Retail,0.4423,0.2373,60.9,0.11,2,1,2025-04-18,7
197,600,0,2824675.28,10.0712,300,MORTGAGE,Mortgage,33122.14,2380131.72,Employed,Hospitality,1.1868,0.1670,34.3,0.08,1,0,2025-08-23,4
200,612,0,849930.14,16.7919,12,PERSONAL,Personal Loan,82720.80,872181.36,Employed,Manufacturing,0.9745,1.1381,23.4,0.01,1,1,2025-07-24,5
201,617,0,212612.79,18.5507,12,PERSONAL,Personal Loan,21004.50,4302605.40,Employed,Tech,0.0494,0.0586,36.7,0.06,2,1,2025-06-05,6
